,examine,id,members,lowalch,limit,value,highalch,icon,name
33,"A magical, helpful charm.",30682,True,4000.0,,10000.0,6000.0,Accumulation charm.png,Accumulation charm
34,A mighty sceptre used in long forgotten battles.,27676,True,48000.0,8.0,120000.0,72000.0,Accursed sceptre (au).png,Accursed sceptre (au)
35,"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",27662,True,70000.0,8.0,175000.0,105000.0,Accursed sceptre (u).png,Accursed sceptre (u)
36,These logs are longer than normal.,2862,True,1.0,13000.0,4.0,2.0,Achey tree logs.png,Achey tree logs
37,Plant this in a plantpot of soil to grow a sapling.,5312,True,2.0,200.0,6.0,3.0,Acorn 5.png,Acorn
38,A two handed sword.,1317,False,2560.0,125.0,6400.0,3840.0,Adamant 2h sword.png,Adamant 2h sword
39,Arrows with adamant heads.,890,False,32.0,11000.0,80.0,48.0,Adamant arrow 5.png,Adamant arrow
40,Venomous-looking arrows.,891,True,32.0,11000.0,80.0,48.0,Adamant arrow(p) 5.png,Adamant arrow(p)
41,Venomous-looking arrows.,5620,True,32.0,11000.0,80.0,48.0,Adamant arrow(p+) 5.png,Adamant arrow(p+)
42,Venomous-looking arrows.,5626,True,32.0,11000.0,80.0,48.0,Adamant arrow(p++) 5.png,Adamant arrow(p++)
43,I can make some arrows with these.,43,True,16.0,10000.0,40.0,24.0,Adamant arrowtips.png,Adamant arrowtips
44,A powerful axe.,1357,False,512.0,40.0,1280.0,768.0,Adamant axe.png,Adamant axe
45,A vicious looking axe.,1371,False,1664.0,125.0,4160.0,2496.0,Adamant battleaxe.png,Adamant battleaxe
46,Adamantite crossbow bolts.,9143,True,23.0,11000.0,58.0,34.0,Adamant bolts 5.png,Adamant bolts
47,Some poisoned adamantite bolts.,9290,True,23.0,11000.0,58.0,34.0,Adamant bolts (p) 5.png,Adamant bolts (p)
48,Some poisoned adamantite bolts.,9297,True,23.0,11000.0,58.0,34.0,Adamant bolts (p+) 5.png,Adamant bolts (p+)
49,Super poisoned adamantite bolts.,9304,True,23.0,11000.0,58.0,34.0,Adamant bolts (p++) 5.png,Adamant bolts (p++)
50,Unfeathered adamantite crossbow bolts.,9380,True,1.0,13000.0,1.0,1.0,Adamant bolts(unf) 5.png,Adamant bolts(unf)
51,These will protect my feet.,4129,True,768.0,125.0,1920.0,1152.0,Adamant boots.png,Adamant boots
52,Blunt adamantite arrow... ouch.,4798,True,38.0,11000.0,95.0,57.0,Adamant brutal 5.png,Adamant brutal
53,A diamond topped cane.,12377,True,576.0,4.0,1440.0,864.0,Adamant cane.png,Adamant cane
54,Ammo suited for a boat's cannon.,31912,True,72.0,11000.0,180.0,108.0,Adamant cannonball.png,Adamant cannonball
55,A series of connected metal rings.,1111,False,1920.0,125.0,4800.0,2880.0,Adamant chainbody.png,Adamant chainbody
56,A set of fighting claws.,3100,True,480.0,125.0,1200.0,720.0,Adamant claws.png,Adamant claws
57,An adamantite crossbow.,9183,True,706.0,70.0,1767.0,1060.0,Adamant crossbow.png,Adamant crossbow
58,An unstrung adamantite crossbow.,9463,True,693.0,10000.0,1733.0,1039.0,Adamant crossbow (u).png,Adamant crossbow (u)
59,Short and deadly.,1211,False,320.0,125.0,800.0,480.0,Adamant dagger.png,Adamant dagger
60,A very dangerous poisoned dagger.,1227,True,320.0,125.0,800.0,480.0,Adamant dagger(p).png,Adamant dagger(p)
61,A very dangerous poisoned dagger.,5676,True,320.0,125.0,800.0,480.0,Adamant dagger(p+).png,Adamant dagger(p+)
62,A very dangerous poisoned dagger.,5694,True,320.0,125.0,800.0,480.0,Adamant dagger(p++).png,Adamant dagger(p++)
63,A deadly throwing dart with an adamant tip.,810,True,26.0,11000.0,65.0,39.0,Adamant dart.png,Adamant dart
64,A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,14.0,20000.0,36.0,21.0,Adamant dart tip.png,Adamant dart tip
65,A deadly poisoned dart with an adamant tip.,816,True,26.0,11000.0,65.0,39.0,Adamant dart(p).png,Adamant dart(p)
66,A deadly poisoned dart with an adamant tip.,5633,True,26.0,11000.0,65.0,39.0,Adamant dart(p+).png,Adamant dart(p+)
67,A deadly poisoned dart with an adamant tip.,5640,True,26.0,11000.0,65.0,39.0,Adamant dart(p++).png,Adamant dart(p++)
68,Do I look scary?,23270,True,4000.0,4.0,10000.0,6000.0,Adamant dragon mask.png,Adamant dragon mask
69,A woodcutter's axe.,28211,True,512.0,,1280.0,768.0,Adamant felling axe.png,Adamant felling axe
70,A full face helmet.,1161,False,1408.0,125.0,3520.0,2112.0,Adamant full helm.png,Adamant full helm
71,Adamant full helmet with gold trim.,2613,False,1408.0,8.0,3520.0,2112.0,Adamant full helm (g).png,Adamant full helm (g)
72,Adamant full helmet with trim.,2605,False,1408.0,8.0,3520.0,2112.0,Adamant full helm (t).png,Adamant full helm (t)
73,"A set containing a full helm, platebody, legs and kiteshield.",13020,False,3200.0,8.0,8000.0,4800.0,Adamant gold-trimmed set (lg).png,Adamant gold-trimmed set (lg)
74,"A set containing a full helm, platebody, skirt and kiteshield.",13022,False,3200.0,8.0,8000.0,4800.0,Adamant gold-trimmed set (sk).png,Adamant gold-trimmed set (sk)
75,An adamant halberd.,3200,True,2560.0,125.0,6400.0,3840.0,Adamant halberd.png,Adamant halberd
76,"An adamant-tipped, one-handed hasta.",11375,True,832.0,125.0,2080.0,1248.0,Adamant hasta.png,Adamant hasta
77,"A poison-tipped, one-handed adamantite hasta.",11407,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p).png,Adamant hasta(p)
78,"A poison-tipped, one-handed adamantite hasta.",11410,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p+).png,Adamant hasta(p+)
79,"A poison-tipped, one-handed adamantite hasta.",11412,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p++).png,Adamant hasta(p++)
80,An adamant helmet with a heraldic design.,10296,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h1).png,Adamant helm (h1)
81,An adamant helmet with a heraldic design.,10298,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h2).png,Adamant helm (h2)
82,An adamant helmet with a heraldic design.,10300,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h3).png,Adamant helm (h3)
83,An adamant helmet with a heraldic design.,10302,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h4).png,Adamant helm (h4)
84,An adamant helmet with a heraldic design.,10304,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h5).png,Adamant helm (h5)
85,An adamant tipped javelin.,829,True,64.0,11000.0,160.0,96.0,Adamant javelin.png,Adamant javelin
86,Needs a shaft.,19578,True,176.0,10000.0,440.0,264.0,Adamant javelin tips 5.png,Adamant javelin tips
87,An adamant tipped javelin.,835,True,64.0,11000.0,160.0,96.0,Adamant javelin(p).png,Adamant javelin(p)
88,An adamant tipped javelin.,5646,True,64.0,11000.0,160.0,96.0,Adamant javelin(p+).png,Adamant javelin(p+)
89,An adamant tipped javelin.,5652,True,64.0,11000.0,160.0,96.0,Adamant javelin(p++).png,Adamant javelin(p++)
90,Parts for creating an adamant keel for a boat.,32011,True,1250.0,100.0,3125.0,1875.0,Adamant keel parts.png,Adamant keel parts
91,A large metal shield.,1199,False,2176.0,125.0,5440.0,3264.0,Adamant kiteshield.png,Adamant kiteshield
92,Adamant kiteshield with gold trim.,2611,False,2176.0,8.0,5440.0,3264.0,Adamant kiteshield (g).png,Adamant kiteshield (g)
93,Adamant kiteshield with trim.,2603,False,2176.0,8.0,5440.0,3264.0,Adamant kiteshield (t).png,Adamant kiteshield (t)
94,A finely balanced throwing knife.,867,True,26.0,11000.0,66.0,39.0,Adamant knife.png,Adamant knife
95,A finely balanced throwing knife.,875,True,26.0,11000.0,66.0,39.0,Adamant knife(p).png,Adamant knife(p)
96,A finely balanced throwing knife.,5659,True,26.0,7000.0,66.0,39.0,Adamant knife(p+).png,Adamant knife(p+)
97,A finely balanced throwing knife.,5666,True,26.0,7000.0,66.0,39.0,Adamant knife(p++).png,Adamant knife(p++)
98,A razor sharp longsword.,1301,False,1280.0,125.0,3200.0,1920.0,Adamant longsword.png,Adamant longsword
99,A spiky mace.,1430,False,576.0,125.0,1440.0,864.0,Adamant mace.png,Adamant mace
100,A medium sized helmet.,1145,False,768.0,125.0,1920.0,1152.0,Adamant med helm.png,Adamant med helm
101,Used for mining.,1271,False,1280.0,40.0,3200.0,1920.0,Adamant pickaxe.png,Adamant pickaxe
102,Provides excellent protection.,1123,False,6656.0,125.0,16640.0,9984.0,Adamant platebody.png,Adamant platebody
103,Adamant platebody with gold trim.,2607,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (g).png,Adamant platebody (g)
104,Adamant platebody with a heraldic design.,23392,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h1).png,Adamant platebody (h1)
105,Adamant platebody with a heraldic design.,23395,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h2).png,Adamant platebody (h2)
106,Adamant platebody with a heraldic design.,23398,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h3).png,Adamant platebody (h3)
107,Adamant platebody with a heraldic design.,23401,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h4).png,Adamant platebody (h4)
108,Adamant platebody with a heraldic design.,23404,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h5).png,Adamant platebody (h5)
109,Adamant platebody with trim.,2599,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (t).png,Adamant platebody (t)
110,These look pretty heavy.,1073,False,2560.0,125.0,6400.0,3840.0,Adamant platelegs.png,Adamant platelegs
111,Adamant platelegs with gold trim.,2609,False,2560.0,8.0,6400.0,3840.0,Adamant platelegs (g).png,Adamant platelegs (g)
112,Adamant platelegs with trim.,2601,False,2560.0,8.0,6400.0,3840.0,Adamant platelegs (t).png,Adamant platelegs (t)
113,Designer leg protection.,1091,False,2560.0,125.0,6400.0,3840.0,Adamant plateskirt.png,Adamant plateskirt
114,Adamant plateskirt with gold trim.,3475,False,2560.0,8.0,6400.0,3840.0,Adamant plateskirt (g).png,Adamant plateskirt (g)
115,Adamant plateskirt with trim.,3474,False,2560.0,8.0,6400.0,3840.0,Adamant plateskirt (t).png,Adamant plateskirt (t)
116,"A vicious, curved sword.",1331,False,1024.0,125.0,2560.0,1536.0,Adamant scimitar.png,Adamant scimitar
117,Magical seeds in an adamant case.,29458,True,120.0,18000.0,300.0,180.0,Adamant seeds.png,Adamant seeds
118,"A set containing a full helm, platebody, legs and kiteshield.",13012,False,3200.0,8.0,8000.0,4800.0,Adamant set (lg).png,Adamant set (lg)
119,"A set containing a full helm, platebody, skirt and kiteshield.",13014,False,3200.0,8.0,8000.0,4800.0,Adamant set (sk).png,Adamant set (sk)
120,A shield with a heraldic design,7334,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h1).png,Adamant shield (h1)
121,A shield with a heraldic design,7340,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h2).png,Adamant shield (h2)
122,A shield with a heraldic design,7346,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h3).png,Adamant shield (h3)
123,A shield with a heraldic design,7352,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h4).png,Adamant shield (h4)
124,A shield with a heraldic design,7358,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h5).png,Adamant shield (h5)
125,An adamantite tipped spear.,1245,True,832.0,125.0,2080.0,1248.0,Adamant spear.png,Adamant spear
126,A poisoned adamantite tipped spear.,1259,True,832.0,125.0,2080.0,1248.0,Adamant spear(p).png,Adamant spear(p)
127,A poisoned adamantite tipped spear.,5712,True,832.0,125.0,2080.0,1248.0,Adamant spear(p+).png,Adamant spear(p+)
128,A poisoned adamantite tipped spear.,5726,True,832.0,125.0,2080.0,1248.0,Adamant spear(p++).png,Adamant spear(p++)
129,A medium square shield.,1183,False,1536.0,125.0,3840.0,2304.0,Adamant sq shield.png,Adamant sq shield
130,A razor sharp sword.,1287,False,832.0,125.0,2080.0,1248.0,Adamant sword.png,Adamant sword
131,A finely balanced throwing axe.,804,True,70.0,11000.0,176.0,105.0,Adamant thrownaxe.png,Adamant thrownaxe
132,"A set containing a full helm, platebody, legs and kiteshield.",13016,False,3200.0,8.0,8000.0,4800.0,Adamant trimmed set (lg).png,Adamant trimmed set (lg)
133,"A set containing a full helm, platebody, skirt and kiteshield.",13018,False,3200.0,8.0,8000.0,4800.0,Adamant trimmed set (sk).png,Adamant trimmed set (sk)
134,I don't think it's intended for joinery.,1345,False,1648.0,125.0,4120.0,2472.0,Adamant warhammer.png,Adamant warhammer
135,It's a bar of adamantite.,2361,False,256.0,10000.0,640.0,384.0,Adamantite bar.png,Adamantite bar
136,A pair of adamantite crossbow limbs.,9429,True,640.0,10000.0,1600.0,960.0,Adamantite limbs.png,Adamantite limbs
137,Keeps things in place fairly permanently.,4823,True,18.0,13000.0,45.0,27.0,Adamantite nails.png,Adamantite nails
138,This needs refining.,449,False,160.0,4500.0,400.0,240.0,Adamantite ore.png,Adamantite ore
139,Much tastier than a normal fish pie.,7198,True,124.0,10000.0,310.0,186.0,Admiral pie.png,Admiral pie
140,A piece of the cosmos' soul? Or souls belonging to the cosmos?,30771,True,80.0,25000.0,200.0,120.0,Aether catalyst.png,Aether catalyst
141,A combined cosmic and soul rune.,30843,True,120.0,25000.0,300.0,180.0,Aether rune.png,Aether rune
142,Wild!,12430,True,273.0,4.0,684.0,410.0,Afro.png,Afro
143,One dose of fishy Agility potion.,11463,True,20.0,2000.0,50.0,30.0,Agility mix(1).png,Agility mix(1)
144,Two doses of fishy Agility potion.,11461,True,40.0,2000.0,100.0,60.0,Agility mix(2).png,Agility mix(2)
145,1 dose of Agility potion.,3038,True,20.0,2000.0,50.0,30.0,Agility potion(1).png,Agility potion(1)
146,2 doses of Agility potion.,3036,True,40.0,2000.0,100.0,60.0,Agility potion(2).png,Agility potion(2)
147,3 doses of Agility potion.,3034,True,60.0,2000.0,150.0,90.0,Agility potion(3).png,Agility potion(3)
148,4 doses of Agility potion.,3032,True,80.0,2000.0,200.0,120.0,Agility potion(4).png,Agility potion(4)
149,"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,True,80000.0,8.0,200000.0,120000.0,Ahrim's armour set.png,Ahrim's armour set
150,Ahrim the Blighted's leather hood.,4708,True,5200.0,15.0,13000.0,7800.0,Ahrim's hood.png,Ahrim's hood
151,Ahrim the Blighted's leather hood.,4860,True,5200.0,15.0,13000.0,7800.0,Ahrim's hood 0.png,Ahrim's hood 0
152,Ahrim the Blighted's armoured robe skirt.,4714,True,18800.0,15.0,47000.0,28200.0,Ahrim's robeskirt.png,Ahrim's robeskirt
153,Ahrim the Blighted's armoured robe skirt.,4878,True,18800.0,15.0,47000.0,28200.0,Ahrim's robeskirt 0.png,Ahrim's robeskirt 0
154,Ahrim the Blighted's armoured robe top.,4712,True,20000.0,15.0,50000.0,30000.0,Ahrim's robetop.png,Ahrim's robetop
155,Ahrim the Blighted's armoured robe top.,4872,True,20000.0,15.0,50000.0,30000.0,Ahrim's robetop 0.png,Ahrim's robetop 0
156,Ahrim the Blighted's quarterstaff.,4710,True,34000.0,15.0,85000.0,51000.0,Ahrim's staff.png,Ahrim's staff
157,Ahrim the Blighted's quarterstaff.,4866,True,34000.0,15.0,85000.0,51000.0,Ahrim's staff 0.png,Ahrim's staff 0
158,It's a slightly magical stick.,1397,True,6200.0,18000.0,15500.0,9300.0,Air battlestaff.png,Air battlestaff
159,A magic glowing orb.,573,True,120.0,11000.0,300.0,180.0,Air orb.png,Air orb
160,One of the 4 basic elemental Runes.,556,False,1.0,50000.0,4.0,2.0,Air rune.png,Air rune
161,A mysterious power emanates from the talisman...,1438,False,1.0,11000.0,4.0,2.0,Air talisman.png,Air talisman
162,A tiara infused with the properties of air.,5527,False,40.0,40.0,100.0,60.0,Air tiara.png,Air tiara
163,This is pretty well sealed.,4436,True,4.0,15.0,10.0,6.0,Airtight pot.png,Airtight pot
164,A special alchemical ingredient used for creating potions.,29993,True,40.0,13000.0,100.0,60.0,Aldarium.png,Aldarium
165,Ale of the gods.,20056,True,340.0,4.0,850.0,510.0,Ale of the gods.png,Ale of the gods
166,A pot filled with ale yeast.,5767,True,1.0,11000.0,1.0,1.0,Ale yeast.png,Ale yeast
167,Maybe I can make something with this.,21347,True,1560.0,13000.0,3900.0,2340.0,Amethyst.png,Amethyst
168,Arrows with amethyst heads.,21326,True,196.0,11000.0,490.0,294.0,Amethyst arrow 5.png,Amethyst arrow
169,Venomous-looking arrows.,21332,True,196.0,11000.0,490.0,294.0,Amethyst arrow(p) 5.png,Amethyst arrow(p)
170,Venomous-looking arrows.,21334,True,196.0,11000.0,490.0,294.0,Amethyst arrow(p+) 5.png,Amethyst arrow(p+)
171,Venomous-looking arrows.,21336,True,196.0,11000.0,490.0,294.0,Amethyst arrow(p++) 5.png,Amethyst arrow(p++)
172,I can make some arrows with these.,21350,True,98.0,10000.0,245.0,147.0,Amethyst arrowtips.png,Amethyst arrowtips
173,Amethyst bolt tips.,21338,True,64.0,11000.0,160.0,96.0,Amethyst bolt tips 5.png,Amethyst bolt tips
174,Crossbow bolts with amethyst broad tips.,21316,True,96.0,11000.0,240.0,144.0,Amethyst broad bolts 5.png,Amethyst broad bolts
175,A deadly throwing dart with an amethyst tip.,25849,True,160.0,11000.0,400.0,240.0,Amethyst dart.png,Amethyst dart
176,A deadly-looking dart tip made of amethyst - needs feathers for flight.,25853,True,80.0,11000.0,200.0,120.0,Amethyst dart tip.png,Amethyst dart tip
177,A deadly poisoned dart with an amethyst tip.,25851,True,160.0,11000.0,400.0,240.0,Amethyst dart(p).png,Amethyst dart(p)
178,A deadly poisoned dart with an amethyst tip.,25855,True,160.0,11000.0,400.0,240.0,Amethyst dart(p+).png,Amethyst dart(p+)
179,A deadly poisoned dart with an amethyst tip.,25857,True,160.0,11000.0,400.0,240.0,Amethyst dart(p++).png,Amethyst dart(p++)
180,An amethyst tipped javelin.,21318,True,168.0,11000.0,420.0,252.0,Amethyst javelin.png,Amethyst javelin
181,Needs a shaft.,21352,True,608.0,10000.0,1520.0,912.0,Amethyst javelin tips 5.png,Amethyst javelin tips
182,An amethyst tipped javelin.,21320,True,168.0,7000.0,420.0,252.0,Amethyst javelin(p).png,Amethyst javelin(p)
183,An amethyst tipped javelin.,21322,True,168.0,7000.0,420.0,252.0,Amethyst javelin(p+).png,Amethyst javelin(p+)
184,An amethyst tipped javelin.,21324,True,168.0,7000.0,420.0,252.0,Amethyst javelin(p++).png,Amethyst javelin(p++)
185,Used to make amulets.,1595,False,2.0,40.0,5.0,3.0,Amulet mould.png,Amulet mould
186,It increases my aim.,1478,False,40.0,5.0,100.0,60.0,Amulet of accuracy.png,Amulet of accuracy
187,A hauntingly beautiful amulet bearing the shape of a skull.,22557,True,18000.0,8.0,45000.0,27000.0,Amulet of avarice.png,Amulet of avarice
188,Saves seeds when planting in allotments.,21160,True,360.0,10000.0,900.0,540.0,Amulet of bounty.png,Amulet of bounty
189,Useful when making potions - has the chance of giving an extra dose.,21163,True,420.0,15000.0,1050.0,630.0,Amulet of chemistry.png,Amulet of chemistry
190,An enchanted emerald amulet of protection.,1729,False,510.0,125.0,1275.0,765.0,Amulet of defence.png,Amulet of defence
191,An enchanted emerald amulet of protection that looks good.,23309,False,510.0,4.0,1275.0,765.0,Amulet of defence (t).png,Amulet of defence (t)
192,A dragonstone amulet with an unlimited supply of magic charges.,19707,True,7050.0,5.0,17625.0,10575.0,Amulet of eternal glory.png,Amulet of eternal glory
193,A very powerful onyx amulet.,6585,True,80800.0,8.0,202000.0,121200.0,Amulet of fury.png,Amulet of fury
194,A very powerful dragonstone amulet.,1704,True,7050.0,10000.0,17625.0,10575.0,Amulet of glory.png,Amulet of glory
195,A very powerful dragonstone amulet.,10362,True,7050.0,5.0,17625.0,10575.0,Amulet of glory (t).png,Amulet of glory (t)
196,A very powerful dragonstone amulet.,10354,True,7050.0,5.0,17625.0,10575.0,Amulet of glory (t4).png,Amulet of glory (t4)
197,A very powerful dragonstone amulet.,11964,True,7050.0,5.0,17625.0,10575.0,Amulet of glory (t6).png,Amulet of glory (t6)
198,A dragonstone amulet with 4 magic charges.,1712,True,7050.0,10000.0,17625.0,10575.0,Amulet of glory(4).png,Amulet of glory(4)
199,A dragonstone amulet with 6 magic charges.,11978,True,7050.0,10000.0,17625.0,10575.0,Amulet of glory(6).png,Amulet of glory(6)
200,An enchanted sapphire amulet of magic.,1727,False,360.0,125.0,900.0,540.0,Amulet of magic.png,Amulet of magic
201,An enchanted sapphire amulet of magic.,10366,False,360.0,5.0,900.0,540.0,Amulet of magic (t).png,Amulet of magic (t)
202,An enchanted diamond amulet of power.,1731,False,1410.0,125.0,3525.0,2115.0,Amulet of power.png,Amulet of power
203,An enchanted diamond amulet that looks good.,23354,False,1610.0,5.0,4025.0,2415.0,Amulet of power (t).png,Amulet of power (t)
204,"A very powerful zenyte amulet, infused with araxyte venom.",29801,True,160000.0,8.0,400000.0,240000.0,Amulet of rancour.png,Amulet of rancour
205,An enchanted ruby amulet.,1725,False,810.0,125.0,2025.0,1215.0,Amulet of strength.png,Amulet of strength
206,Heirloom of an ancient family of Morytania.,12851,True,23200.0,8.0,58001.0,34800.0,Amulet of the damned (full).png,Amulet of the damned (full)
207,A deep sense of torture burns within this powerful amulet.,19553,True,80800.0,8.0,202000.0,121200.0,Amulet of torture.png,Amulet of torture
208,Good for enhancing a super energy potion.,12640,True,8.0,11000.0,20.0,12.0,Amylase crystal 5.png,Amylase crystal
209,The hat of a powerful sorceress from a bygone era.,21018,True,18000.0,8.0,45000.0,27000.0,Ancestral hat.png,Ancestral hat
210,The robe bottoms of a powerful sorceress from a bygone era.,21024,True,32000.0,8.0,80000.0,48000.0,Ancestral robe bottom.png,Ancestral robe bottom
211,The robe top of a powerful sorceress from a bygone era.,21021,True,48000.0,8.0,120000.0,72000.0,Ancestral robe top.png,Ancestral robe top
212,"A set containing an Ancestral hat, robe top and robe bottom.",21049,True,58000.0,5.0,145000.0,87000.0,Ancestral robes set.png,Ancestral robes set
213,Some nicely cooked anchovies.,319,False,6.0,15000.0,15.0,9.0,Anchovies.png,Anchovies
214,A pizza with anchovies.,2297,False,24.0,10000.0,60.0,36.0,Anchovy pizza.png,Anchovy pizza
215,"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.",20235,True,32.0,5.0,80.0,48.0,Ancient blessing.png,Ancient blessing
216,Ancient blessed dragonhide vambraces.,12490,True,1600.0,8.0,4000.0,2400.0,Ancient bracers.png,Ancient bracers
217,1 dose of ancient brew.,26346,True,50.0,2000.0,125.0,75.0,Ancient brew(1).png,Ancient brew(1)
218,2 doses of ancient brew.,26344,True,60.0,2000.0,150.0,90.0,Ancient brew(2).png,Ancient brew(2)
219,3 doses of ancient brew.,26342,True,70.0,2000.0,175.0,105.0,Ancient brew(3).png,Ancient brew(3)
220,4 doses of ancient brew.,26340,True,80.0,2000.0,200.0,120.0,Ancient brew(4).png,Ancient brew(4)
221,Some ceremonial boots dedicated to an ancient god.,26229,True,16000.0,8.0,40000.0,24000.0,Ancient ceremonial boots.png,Ancient ceremonial boots
