item_id,timestamp,avg_high_price,avg_low_price,high_volume,low_volume
810,1770865200,35,34,290526,118073
811,1770865200,192,186,38858,53980
816,1770865200,89,89,48,459
820,1770865200,46,42,30001,17120
821,1770865200,80,79,26560,2040
822,1770865200,117,117,89414,55263
823,1770865200,222,218,365086,146304
824,1770865200,1175,1119,27182,19306
829,1770865200,39,35,6169,5949
830,1770865200,158,150,17632,9400
839,1770865200,35,34,19,2
841,1770865200,49,48,12,6
843,1770865200,44,43,42,110
845,1770865200,51,51,257,105
847,1770865200,160,160,918,137
849,1770865200,82,81,54,230
851,1770865200,309,291,2570,3284
853,1770865200,187,179,952,400
855,1770865200,484,472,63202,25175
857,1770865200,386,372,1028,419
859,1770865200,1217,1206,36707,16480
861,1770865200,798,782,232,149
863,1770865200,22,21,8100,954
865,1770865200,40,38,300,10
866,1770865200,149,142,429,4641
867,1770865200,339,313,1000,1351
868,1770865200,221,210,32704,53100
869,1770865200,59,46,1834,2008
877,1770865200,4,3,7175,255
880,1770865200,43,40,19501,2001
882,1770865200,5,4,41378,498797
884,1770865200,8,8,145758,86194
886,1770865200,18,17,42721,53212
888,1770865200,17,17,55441,80339
890,1770865200,58,50,186768,217883
892,1770865200,94,92,133095,222709
946,1770865200,20,17,162,7
948,1770865200,50,41,71,77
950,1770865200,17,16,503,968
952,1770865200,99,50,124,100
954,1770865200,47,49,1338,378
958,1770865200,18,18,129,1042
960,1770865200,138,133,10378,15475
962,1770865200,110000,106533,4,15
970,1770865200,108,114,263,4
973,1770865200,159,142,227,33
975,1770865200,767,600,9,1
983,1770865200,432,442,17,1
985,1770865200,11899,10652,102,689
987,1770865200,14143,12979,17,465
989,1770865200,24278,23450,164,411
991,1770865200,6081,4468,18,18
993,1770865200,24376,24372,1,823
1005,1770865200,87,80,5,1
1007,1770865200,93,92,30,24
1009,1770865200,120,75,151,4
1013,1770865200,88,88,22,2
1015,1770865200,150,84,1,2
1017,1770865200,297,308,111,12
1019,1770865200,392,292,20,16
1021,1770865200,204,164,4,3
1023,1770865200,269,217,1,2
1027,1770865200,300,2501,13,5
1029,1770865200,1180,1026,3,10
1033,1770865200,3637,3149,92,119
1035,1770865200,1,1,41,45
1038,1770865200,12169,11001,10,17
1040,1770865200,7588,7335,5,21
1042,1770865200,19199,18281,5,20
1044,1770865200,16000,12261,6,17
1046,1770865200,15688,13515,6,25
1048,1770865200,18864,16525,2,23
1050,1770865200,21026,20433,2,25
1053,1770865200,11838,9747,20,9
1055,1770865200,7841,8034,1,4
1057,1770865200,11300,10019,1,4
1059,1770865200,8,2,125,60
1061,1770865200,23,33,138,67
1063,1770865200,5,6,57,1
1065,1770865200,1442,1847,251,104
1067,1770865200,115,95,26,12
1069,1770865200,466,436,14,89
1071,1770865200,1718,1493,50,468
1073,1770865200,3504,3645,431,1085
1075,1770865200,130,95,14,4
1077,1770865200,1364,1166,26,74
1079,1770865200,37979,37958,1494,3778
1081,1770865200,321,52,4,43
1083,1770865200,555,393,4,203
1085,1770865200,1332,1422,396,692
1091,1770865200,3730,3633,32,48
1093,1770865200,38150,38219,742,531
1095,1770865200,5,6,294,598
1097,1770865200,300,298,31,53
1099,1770865200,2487,2345,30,128
1101,1770865200,105,90,44,29
1103,1770865200,17,24,104,103
1105,1770865200,317,260,14,8
1107,1770865200,1844,1063,1,2
1109,1770865200,1115,1158,21,409
1111,1770865200,2690,2642,71,185
1113,1770865200,29631,29579,532,2853
1115,1770865200,113,87,787,751
1119,1770865200,1039,996,6228,2029
1121,1770865200,2781,2745,1507,1758
1123,1770865200,9656,9636,189,8520
1125,1770865200,3818,3248,25,60
1127,1770865200,38558,38595,1303,5651
1129,1770865200,21,14,204,483
1131,1770865200,21,10,8,3013
1133,1770865200,682,447,22,44
1135,1770865200,4416,4398,3389,5073
1137,1770865200,1,1,8,44
1139,1770865200,13,13,43,14
1141,1770865200,49,44,701,3
1143,1770865200,274,400,177,44
1145,1770865200,955,965,76,260
1147,1770865200,11180,11140,512,1885
1149,1770865200,58838,58781,174,638
1151,1770865200,400,381,1,11
1153,1770865200,139,88,12,7
1155,1770865200,33,20,9,2
1157,1770865200,264,238,22,72
1159,1770865200,664,754,27,28
1161,1770865200,1981,1996,43,660
1163,1770865200,20843,20809,724,3578
1165,1770865200,515,507,31,35
1167,1770865200,5,1,55,234
1169,1770865200,47,34,25,46
1171,1770865200,150,109,2,93
1173,1770865200,202,74,4,9
1177,1770865200,299,175,5,16
1179,1770865200,488,467,12,3
1181,1770865200,720,892,7,29
1183,1770865200,2380,2094,4,129
1185,1770865200,22621,22644,19,1162
1187,1770865200,305297,299161,11,43
1191,1770865200,142,68,26,19
1193,1770865200,321,462,16,331
1195,1770865200,2987,1459,1,9
1197,1770865200,1204,1139,65,331
1199,1770865200,3140,3098,269,160
1201,1770865200,32230,32218,1406,5085
1203,1770865200,43,22,26,173
1205,1770865200,7,5,6,3
1207,1770865200,40,15,25,5
1211,1770865200,499,306,110,141
1213,1770865200,4398,4486,356,1064
1215,1770865200,17143,17200,38,1241
1217,1770865200,770,728,3,48
1237,1770865200,377,251,35,5
1245,1770865200,923,863,2,22
1247,1770865200,12240,12183,18,51
1249,1770865200,39008,36846,104,107
1265,1770865200,36,62,28,5
1267,1770865200,411,278,12,20
1269,1770865200,1861,1297,16,39
1271,1770865200,1786,1697,50,32
1273,1770865200,592,513,637,684
1275,1770865200,18815,18814,433,1955
1277,1770865200,9,33,7,36
1279,1770865200,111,105,1,31
1281,1770865200,142,73,32,4
1283,1770865200,328,351,2,5
1287,1770865200,1230,1157,4,11
1289,1770865200,12115,12114,252,713
1291,1770865200,44,10,4,40
1295,1770865200,232,134,141,120
1299,1770865200,543,541,408,262
1301,1770865200,1715,1683,125,308
1303,1770865200,18826,18813,1513,1739
1305,1770865200,59210,59212,159,1145
1309,1770865200,153,150,3,2
1311,1770865200,519,391,1,8
1313,1770865200,1052,1051,1,5
1315,1770865200,1433,1303,13,7
1317,1770865200,3724,3699,61,255
1319,1770865200,38230,38203,50,1116
1321,1770865200,110,10,5,100
1323,1770865200,68,67,29,2
1325,1770865200,135,83,17,40
1327,1770865200,2859,2850,13,12
1329,1770865200,419,403,664,211
1331,1770865200,1574,1548,41,94
1333,1770865200,15056,15050,997,1202
1335,1770865200,19,14,103,128
1339,1770865200,294,226,241,86
1341,1770865200,658,650,4,11
1343,1770865200,1380,1370,3,12
1345,1770865200,3045,2890,13,59
1347,1770865200,24587,24805,478,3009
1349,1770865200,105,101,9,144
1351,1770865200,25,14,159,22
1353,1770865200,120,186,202,149
1355,1770865200,245,232,102,10
1357,1770865200,770,684,217,40
1359,1770865200,7611,7450,570,641
1361,1770865200,1107,983,26,53
1365,1770865200,196,201,2,27
1369,1770865200,1078,959,124,57
1371,1770865200,2444,2392,140,141
1373,1770865200,24520,24638,212,1182
1377,1770865200,119639,118845,27,213
1379,1770865200,57,55,107,15
1381,1770865200,2088,2006,130,73
1383,1770865200,1643,1580,23,30
1385,1770865200,801,786,6,14
1387,1770865200,1651,1563,164,39
1391,1770865200,8103,8048,68581,51464
1393,1770865200,8797,8786,878,3120
1395,1770865200,8776,8750,3154,966
1397,1770865200,8818,8809,35999,61218
1399,1770865200,8791,8786,7555,5020
1401,1770865200,25305,25025,17,173
1403,1770865200,25181,25006,7,218
1405,1770865200,25238,25093,119,576
1407,1770865200,24982,25033,32,578
1424,1770865200,28,29,32,1
1428,1770865200,148,126,11,16
1430,1770865200,632,582,14,13
1432,1770865200,8279,8336,757,1708
1434,1770865200,30244,29193,137,640
1436,1770865200,12,12,6002,1258
1438,1770865200,156,157,364,348
1440,1770865200,540,535,117,1430
1442,1770865200,1938,1910,12,34
1444,1770865200,219,214,38,651
1446,1770865200,1586,1586,444,224
1448,1770865200,3137,3161,3798,539
1450,1770865200,130000,119037,1,1
1452,1770865200,207,78,217,44
1454,1770865200,232,243,5,111
1456,1770865200,2495,2232,6,25
1462,1770865200,183,182,4,38
1470,1770865200,2786,2535,44,57
1472,1770865200,1952,1890,10,34
1474,1770865200,2997,2840,19,51
1476,1770865200,2739,2579,23,51
1478,1770865200,2636,2758,1,12
1511,1770865200,35,33,70496,10449
1513,1770865200,1023,1007,120081,82784
1515,1770865200,141,139,93390,133948
1517,1770865200,16,16,86366,163410
1519,1770865200,28,27,29412,27966
1521,1770865200,27,26,13195,6796
1523,1770865200,281,339,758,296
1539,1770865200,22,21,56973,23023
1540,1770865200,30,23,44,33
1550,1770865200,21,20,52,24
1592,1770865200,106,50,23,2
1595,1770865200,424,275,13,3
1597,1770865200,192,100,14,1
1601,1770865200,1794,1777,12376,57841
1603,1770865200,954,938,26545,43131
1605,1770865200,523,517,11801,16383
1607,1770865200,322,316,22083,14242
1609,1770865200,251,245,96,2020
1611,1770865200,314,300,265,7340
1613,1770865200,3536,3501,396,4024
1615,1770865200,11228,11141,2210,5740
1617,1770865200,2917,2855,27419,43705
1619,1770865200,1247,1231,16386,50690
1621,1770865200,601,587,8475,38565
1623,1770865200,343,337,7454,34491
1625,1770865200,89,87,7832,13528
1627,1770865200,99,95,4603,4172
1629,1770865200,2937,2852,283,6703
1631,1770865200,17379,16904,591,3866
1635,1770865200,125,121,660,3799
1637,1770865200,482,479,3072,9789
1639,1770865200,677,674,70,3170
1641,1770865200,1088,1064,18,291
1643,1770865200,1972,1952,278,477
1645,1770865200,11363,11512,7,123
1654,1770865200,134,132,26106,8500
1656,1770865200,490,489,2133,1556
1658,1770865200,703,693,5192,13090
1660,1770865200,1162,1150,29149,7345
1662,1770865200,2053,2047,1295,4179
1664,1770865200,11554,11413,12,22
1673,1770865200,132,132,500,490
1675,1770865200,413,405,20,1
1677,1770865200,553,526,1072,4
1679,1770865200,1099,1069,36,1030
1681,1770865200,1996,1950,11019,13
1683,1770865200,11900,11400,1000,58
1694,1770865200,458,446,33,368
1696,1770865200,679,630,961,175
1698,1770865200,1140,1107,207,358
1700,1770865200,2075,2010,1000,389
1702,1770865200,11840,11774,8,22
1704,1770865200,12397,12254,2486,3654
1712,1770865200,12380,11872,305,105
1716,1770865200,66,25,100,100
1718,1770865200,489,400,47,20
1724,1770865200,113,75,3,32
1725,1770865200,1374,1362,393,1175
1727,1770865200,518,508,18,24
1729,1770865200,661,600,5,3
1731,1770865200,2007,1952,191,308
1733,1770865200,28,29,94,17
1734,1770865200,8,7,21566,39357
1735,1770865200,41,32,28,1
1737,1770865200,29,29,9746,24
1739,1770865200,177,167,127,3971
1741,1770865200,244,236,5790,3882
1743,1770865200,266,266,3070,15
1745,1770865200,2088,2030,12197,6885
1747,1770865200,3593,3557,477,90576
1749,1770865200,2538,2527,3437,51085
1751,1770865200,1898,1867,1434,36306
1753,1770865200,1753,1788,5509,21878
1755,1770865200,87,84,27,2
1759,1770865200,60,58,6059,3821
1761,1770865200,128,125,29097,12440
1763,1770865200,759,666,212,5
1765,1770865200,185,180,153,2
1767,1770865200,248,246,130,56
1773,1770865200,599,536,31,7
1775,1770865200,94,93,80476,26945
1777,1770865200,85,85,281763,122312
1779,1770865200,2,3,96570,170520
1781,1770865200,24,21,1656,818
1783,1770865200,13,12,78903,64850
1785,1770865200,1278,711,24,9
1791,1770865200,223,223,12,1
1793,1770865200,73,75,97,6
1823,1770865200,105,94,808,9
1831,1770865200,18,15,4,182
1833,1770865200,286,250,33,2
1837,1770865200,1000,659,24,3
1854,1770865200,22,22,31,18040
1885,1770865200,636,506,3,13
1887,1770865200,89,89,14,13
1891,1770865200,273,263,1430,818
1897,1770865200,354,350,6,6
1907,1770865200,216,134,23,45
1913,1770865200,192,173,13,2
1917,1770865200,96,91,111,1317
1919,1770865200,29,25,10950,1243
1923,1770865200,17,10,23975,12
1925,1770865200,7,7,8752,3260
1927,1770865200,50,50,26873,6
1929,1770865200,40,39,465,335
1931,1770865200,26,27,8042,1254
1933,1770865200,138,133,2083,681
1935,1770865200,2,2,2444,1464
1937,1770865200,16,15,126058,56119
1939,1770865200,3,3,74928,49253
1941,1770865200,17,16,161874,19174
1942,1770865200,24,23,6041,6368
1944,1770865200,35,34,82,28
1947,1770865200,8,8,153,142
1949,1770865200,309,300,895,92
1951,1770865200,100,92,36,19
1953,1770865200,175,166,2330,3324
1955,1770865200,42,44,19714,18044
1957,1770865200,22,20,96,9536
1963,1770865200,47,46,4074,427
1965,1770865200,19,20,25269,15343
1969,1770865200,190,100,101,3
1971,1770865200,47,41,14,9
1973,1770865200,44,44,25,26
1975,1770865200,55,50,1215,2262
1978,1770865200,58,80,19,359
1980,1770865200,5,4,13,3
1982,1770865200,16,16,33677,7747
1985,1770865200,54,52,2226,30973
1987,1770865200,96,94,138556,131069
1993,1770865200,4,4,39495,56736
2003,1770865200,60,50,1914,1238
2007,1770865200,79,67,31,316
2011,1770865200,449,426,1876,238
2019,1770865200,164,14,1,8
2064,1770865200,6270,4000,1,1
2102,1770865200,100,99,17,35
2108,1770865200,357,310,226,651
2114,1770865200,169,147,8849,558
2116,1770865200,175,175,23,2
2120,1770865200,70,65,10,10
2126,1770865200,49,50,67,4
2130,1770865200,16,16,14,3
2132,1770865200,26,25,736,542
2134,1770865200,30,27,74,69
2136,1770865200,214,178,29,1
2138,1770865200,24,24,3461,2891
2140,1770865200,74,72,2736,506
2142,1770865200,56,54,1346,306
2152,1770865200,368,361,360,125
2162,1770865200,652,437,59,95
2169,1770865200,155,92,8,3
2171,1770865200,8,8,104,3
2187,1770865200,817,6,1,1
2243,1770865200,1400,124,1,2
2283,1770865200,165,165,628,1
2289,1770865200,371,359,141,15
2293,1770865200,330,310,153,191
2297,1770865200,470,458,1918,566
2301,1770865200,624,621,3847,811
2307,1770865200,230,145,12,1
2309,1770865200,175,165,2387,413
2313,1770865200,29,28,1789,704
2315,1770865200,313,309,1363,275
2317,1770865200,405,405,3000,1
2319,1770865200,253,174,1,1
2321,1770865200,475,396,2,1
2323,1770865200,131,111,903,438
2325,1770865200,275,251,78,1
2327,1770865200,50,39,241,20
2347,1770865200,76,72,121,76
2349,1770865200,64,61,17092,6272
2351,1770865200,181,178,16668,9925
2353,1770865200,587,580,140505,80470
2355,1770865200,105,102,13228,7035
2357,1770865200,107,104,178432,343506
2359,1770865200,1122,1091,59807,82727
2361,1770865200,2032,2022,69362,33716
2363,1770865200,12421,12415,18817,44694
2366,1770865200,65670,65135,11,14
2428,1770865200,11,10,383,229
2430,1770865200,101,87,164,5
2432,1770865200,789,638,511,1
2434,1770865200,8362,8257,60360,16951
2436,1770865200,3496,3486,6588,5027
2440,1770865200,4085,4068,7238,5159
2442,1770865200,3869,3814,5608,10392
2444,1770865200,2507,2459,11668,5692
2446,1770865200,189,167,1759,87
2448,1770865200,2275,2177,380,1871
2452,1770865200,1860,1994,446,726
2454,1770865200,1316,1194,141,5
2456,1770865200,1000,619,1,1
2464,1770865200,5000,1211,1,2
2466,1770865200,190,186,1,1
2474,1770865200,79315,96648,2,2
2476,1770865200,21055,17110,2,2
2481,1770865200,2220,2129,2747,2046
2485,1770865200,2040,2031,383,14745
2487,1770865200,1900,1513,37,85
2489,1770865200,1950,1698,18,102
2491,1770865200,2243,2162,67,348
2493,1770865200,2112,2077,71,107
2495,1770865200,3035,2671,21,95
2497,1770865200,4080,3860,673,460
2499,1770865200,5007,4975,3696,15757
2501,1770865200,5961,5954,6452,2365
2503,1770865200,7385,7235,256,10929
2505,1770865200,2207,2185,41604,22990
2507,1770865200,2825,2799,33690,7984
2509,1770865200,3846,3811,29930,2535
2520,1770865200,165,11,1,10
2550,1770865200,930,901,13588,3294
2552,1770865200,733,727,1885,1268
2568,1770865200,1064,1035,35,53
2570,1770865200,1923,1835,45,147
2572,1770865200,12095,12026,878,8726
2577,1770865200,23433183,23060366,4,6
2579,1770865200,135419,123442,8,11
2581,1770865200,1350545,1314913,13,13
2595,1770865200,94466,81920,2,2
2613,1770865200,12000,10150,1,2
2615,1770865200,92758,89420,1,4
2617,1770865200,44197,40410,3,4
2619,1770865200,89904,84183,5,5
2621,1770865200,114897,111429,2,2
2625,1770865200,43415,37748,8,2
2629,1770865200,37473,31000,5,2
2635,1770865200,60000,53460,1,1
2639,1770865200,30000,18001,4,1
2641,1770865200,4687,2000,3,2
2645,1770865200,4420,3000,1,1
2647,1770865200,6000,1151,2,2
2653,1770865200,40441,39971,1,2
2657,1770865200,676797,652820,20,10
2659,1770865200,61043,58177,2,3
2661,1770865200,65655,65348,2,5
2665,1770865200,94675,82235,12,8
2667,1770865200,83301,83137,5,1
2673,1770865200,45674,40398,1,4
2675,1770865200,48164,49061,2,6
2859,1770865200,485,473,217,12
2862,1770865200,226,170,1,129
2865,1770865200,117,115,5018,70
2866,1770865200,273,259,3818,2424
2876,1770865200,1436,1378,33,17
2878,1770865200,65,65,5,7
2890,1770865200,505,200,8,1
2904,1770865200,1516,1492,2,21
2910,1770865200,1121,650,2,1
2912,1770865200,1740,1276,53,4
2914,1770865200,1872,1660,4,72
2922,1770865200,1368,1274,5,1
2924,1770865200,2674,1500,4,2
2932,1770865200,1500,1045,3,2
2942,1770865200,2007,1158,7,2
2961,1770865200,500,216,45,19
2970,1770865200,387,370,10039,14711
2972,1770865200,739,735,4,1
2997,1770865200,1232504,1206267,4,2
2998,1770865200,2982,2954,1935,6172
3000,1770865200,8236,8231,483,11798
3002,1770865200,3230,3186,29666,16127
3004,1770865200,8523,8542,13487,798
3008,1770865200,144,135,2858,132
3016,1770865200,3343,3279,6115,1319
3018,1770865200,2441,2410,1922,2227
3024,1770865200,10734,10627,27088,9421
3026,1770865200,7934,7821,64,14755
3028,1770865200,5245,5150,10,198
3030,1770865200,3100,2574,10,61
3032,1770865200,246,238,47,2
3040,1770865200,220,208,1640,1455
3042,1770865200,138,112,10,126
3046,1770865200,55,9,101,1
3049,1770865200,2914,2914,1770,24233
3051,1770865200,8034,8089,101,13668
3053,1770865200,9483,9348,41,98
3054,1770865200,26095,25819,61,153
3101,1770865200,6605,6831,2,165
3105,1770865200,542,548,541,2
3107,1770865200,4000,3001,22,1
3122,1770865200,33491,34341,52,40
3138,1770865200,52,52,1406,6340
3140,1770865200,398687,382638,37,39
3142,1770865200,371,367,126647,66023
3144,1770865200,506,506,172332,36086
3159,1770865200,2322,2189,1,1
3183,1770865200,445,411,18,5
3200,1770865200,3653,3424,3,5
3202,1770865200,38166,37829,37,96
3204,1770865200,149432,148657,18,133
3211,1770865200,228,181,43,48
3216,1770865200,884,850,2,4
3239,1770865200,104,100,2000,422
3325,1770865200,1141,1114,949,576
3343,1770865200,4161,3709,5,3
3385,1770865200,14901,13545,2,5
3387,1770865200,36214,32402,24,20
3389,1770865200,25052,23000,13,22
3391,1770865200,2112,2102,71,23
3396,1770865200,158,141,119,101
3398,1770865200,3264,2001,272,76
3402,1770865200,2863,2317,275,3
3404,1770865200,5174,4721,42,35
3408,1770865200,74,60,3,6
3420,1770865200,263,242,319,130
3422,1770865200,65,66,224,3604
3430,1770865200,3019,3002,4535,1
3436,1770865200,770,705,4,1
3448,1770865200,4449,4253,101,6
3473,1770865200,9000,5055,1,1
3479,1770865200,39289,38000,1,1
3481,1770865200,10606583,10349208,3,3
3485,1770865200,1229627,1163728,10,9
3678,1770865200,5536,5296,16,18
3749,1770865200,40552,38963,44,41
3751,1770865200,38796,36262,41,54
3755,1770865200,36857,36948,2,30
3767,1770865200,36,25,2,1
3789,1770865200,3311,3127,1,12
3827,1770865200,9355,2389,3,15
3828,1770865200,2143,1510,3,20
3829,1770865200,17000,1668,2,23
3830,1770865200,13000,1608,3,10
3831,1770865200,6301,6680,4,15
3832,1770865200,6927,6003,5,24
3833,1770865200,13085,7005,6,27
3834,1770865200,5717,5916,8,24
3835,1770865200,1633,1634,1,27
3836,1770865200,3999,1811,1,19
3837,1770865200,5000,2114,1,26
3838,1770865200,1507,2035,2,24
3853,1770865200,740,715,736,151
4012,1770865200,150,140,2529,16
4014,1770865200,555,170,34,7
4087,1770865200,161303,160922,357,968
4089,1770865200,14271,13577,44,30
4091,1770865200,73042,71200,112,537
4093,1770865200,47522,47213,116,394
4095,1770865200,5764,5550,8,45
4097,1770865200,4953,4901,164,158
4101,1770865200,72685,71223,14,38
4103,1770865200,48049,47301,12,29
4105,1770865200,6298,5469,4,4
4107,1770865200,112025,100000,1,10
4109,1770865200,8332,8250,2,23
4111,1770865200,72057,71057,4,15
4117,1770865200,9709,9135,6,6
4121,1770865200,3933,3869,14,9
4125,1770865200,978,878,1,132
4127,1770865200,581,567,7,3
4129,1770865200,925,828,20,14
4131,1770865200,7193,6900,98,261
4151,1770865200,1365996,1346021,183,243
4153,1770865200,211483,204790,260,220
4156,1770865200,5715,5204,13,1
4161,1770865200,32,31,69,100
4164,1770865200,2012,531,6,3
4166,1770865200,505,427,11,2
4170,1770865200,22951,21055,20,2
4207,1770865200,417818,409845,82,49
4298,1770865200,149,123,22,3
4300,1770865200,722,433,19,8
4302,1770865200,164,85,21,3
4304,1770865200,1953,2824,33,8
4306,1770865200,2779,2077,49,3
4308,1770865200,1928,757,40,3
4310,1770865200,4255,3125,33,2
4315,1770865200,1036,502,2,1
4335,1770865200,1999,1131,1,1
4343,1770865200,1602,919,1,2
4345,1770865200,84,25,1,1
4357,1770865200,100,50,5,1
4363,1770865200,1900,914,1,1
4385,1770865200,799,113,2,4
4403,1770865200,752,550,1,1
4407,1770865200,586,300,1,3
4411,1770865200,387,34,2,1
4417,1770865200,2900,2715,1876,2524
4440,1770865200,293,293,14,1
4517,1770865200,5679,5368,31,1
